database,subject_id,New_Key,Lake,County,Township,Range,Section,lat,long,URL 4 (front),URL 8 (back),day,month,month.cat,year,doy
App,62998,,Van Auken Lake,Van Buren,T02SR16W28,,,42.26619,-86.16852,,,24,4,04.April,2018,114
App,62876,,Spring Lake,Muskegon,T09NR16W36,,,43.12272,-86.15649,,,10,4,04.April,2018,100
App,62972,,Lake st clair,Macomb,T03NR14E33,,,42.64344,-82.81409,,,23,4,04.April,2018,113
App,63164,,"Sand Lake, Onsted",Lenawee,T05SR02E12,,,42.04843,-84.13463,,,1,5,05.May,2018,121
App,63548,,Otsego Lake,Otsego,T29NR03W04,,,44.9432,-84.68436,,,27,5,05.May,2018,147
App,63421,,East Twin Lake,Roscommon,T22NR01W31,,,44.24792,-84.48433,,,20,5,05.May,2018,140
App,63220,44-159,Lake Nepessing,Lapeer,,,,43.01749,-83.37176,,,3,5,05.May,2018,123
App,63573,,Kettle Lake,Kent,T05NR10W11,,,42.83187,-85.45253,,,28,5,05.May,2018,148
App,63797,,Grand Lake ,Presque Isle,T34NR08E32,,,45.30051,-83.48992,,,12,6,06.June,2018,163
App,63939,,Dollar Lake - Cass Lake,Oakland,T02NR09E01,,,42.6081,-83.3438,,,20,6,06.June,2018,171
App,63813,,cass lake,Oakland,T02NR09E04,,,42.60231,-83.39241,,,12,6,06.June,2018,163
App,63835,,Orchard Lake,Oakland,T02NR09E10,,,42.58635,-83.38097,,,14,6,06.June,2018,165
App,63653,,West Byron Lake,Kent,T05NR12W10,,,42.83976,-85.71791,,,1,6,06.June,2018,152
App,63830,,Sylvan Lake,Oakland,T03NR09E36,,,42.62994,-83.33944,,,14,6,06.June,2018,165
App,63621,,Lake Adrian,Lenawee,T06SR03E26,,,41.92061,-84.04368,,,2,6,06.June,2018,153
App,64070,,Irish Lake,Houghton,T48NR36W12,,,46.56605,-88.75993,,,27,6,06.June,2018,178
App,64426,,Anderson Lake,Marquette,T44NR26W12,,,46.22168,-87.49158,,,7,7,07.July,2018,188
App,65242,65-203,Lake Ogemaw,Ogemaw,,,,44.23916,-84.05531,,,1,8,08.August,2018,213
App,65636,,Long Lake,Iosco,T24NR04E36,,,44.42697,-83.89023,,,1,8,08.August,2018,213
App,65302,,Noeth dease lake,Ogemaw,T23NR04E12,,,44.40381,-83.89133,,,24,8,08.August,2018,236
App,65332,,Wixom Lake,Gladwin,T17NR01E27,,,43.84821,-84.32831,,,28,10,10.October,2018,301
App,65998,,belleville lake,Wayne,T03SR08E19,,,42.20931,-83.54108,,,25,3,03.March,2019,84
App,65987,,Ford lake,Washtenaw,T03SR07E03,,,42.26117,-83.58896,,,24,3,03.March,2019,83
App,66227,,Spring Lake,Ottawa,T08NR16W12,,,43.09919,-86.1564,,,26,4,04.April,2019,116
App,66529,,Crystal Lake,Benzie,T26NR16W09,,,44.67015,-86.25333,,,20,5,05.May,2019,140
App,67125,,Merrit Lake,Lapeer,T06NR10E16,,,42.94158,-83.28855,,,25,6,06.June,2019,176
App,66783,,Goguac lake,Calhoun,T02SR08W14,,,42.29113,-85.2068,,,1,6,06.June,2019,152
App,66749,,Quiggle lake,Kent,T06NR10W14,,,42.90033,-85.45367,,,3,6,06.June,2019,154
App,66754,,Bair lake,Cass,T07SR13W03,,,41.89044,-85.80034,,,3,6,06.June,2019,154
App,67262,,Portage Lake,Houghton,T54NR33W34,,,47.03578,-88.47645,,,3,7,07.July,2019,184
App,67235,,"Wamplers Lake, Brooklyn MI",Jackson,T04SR02E36,,,42.08062,-84.14761,,,1,7,07.July,2019,182
App,67492,,Torch Lake ,Antrim,T29NR08W33,,,44.86335,-85.28309,,,17,7,07.July,2019,198
App,67348,,Hatch lake ,Otsego,T29NR03W20,,,44.89732,-84.69461,,,8,7,07.July,2019,189
App,67415,,Forest Lake,Arenac,T20NR03E15,,,44.13298,-84.09322,,,12,7,07.July,2019,193
App,68385,,The boat landing-Lake Mary,Iron,T42NR31W08,,,46.05769,-88.22107,,,4,10,10.October,2019,277
App,69720,,Lake St. Clair,Macomb,,,,42.57352,-82.81332,,,16,3,03.March,2020,76
App,69798,,Lake st Clair ,Oakland,T03NR11E07,,,42.68754,-83.20221,,,26,3,03.March,2020,86
App,69875,,Loch Erin,Lenawee,T05SR02E24,,,42.01953,-84.1376,,,3,4,04.April,2020,94
App,69850,,White Lake,Muskegon,T12NR17W33,,,43.39011,-86.35458,,,1,4,04.April,2020,92
App,70648,,Cowboy Lake,Dickinson,T40NR31W34,,,45.81134,-88.12329,,,27,5,05.May,2020,148
App,70651,,Lake Bel-Air,Hillsdale,T06SR02W17,,,41.94289,-84.56467,,,25,5,05.May,2020,146
App,70488,,Portage Lake ,St. Joseph,T05SR10W08,,,42.04997,-85.508,,,15,5,05.May,2020,136
App,70760,,Campbell Lake,Kalamazoo,T02SR10W03,,,42.33078,-85.46458,,,31,5,05.May,2020,152
App,70622,,Rifle Lake,Ogemaw,T23NR04E05,,,44.4145,-83.97683,,,24,5,05.May,2020,145
App,70674,,Lake Doster,Allegan,T01NR11W25,,,42.44877,-85.55141,,,1,5,05.May,2020,122
App,70595,,Duke Lake,Chippewa,T45NR01W28,,,46.26139,-84.44156,,,24,5,05.May,2020,145
App,70531,,Rush Lake,Benzie,T27NR15W32,,,44.69223,-86.14139,,,14,5,05.May,2020,135
App,71051,,Big Crooked Lake,Livingston,T02NR05E25,,,42.53004,-83.79424,,,18,6,06.June,2020,170
App,70819,,Arnold lake,Clare,T20NR04W35,,,44.07538,-84.75288,,,5,6,06.June,2020,157
App,70811,63-1162,Round Lake,Oakland,,,,42.78277,-83.3587,,,5,6,06.June,2020,157
App,70837,38-568,Round Lake,Jackson,,,,42.08832,-84.47259,,,6,6,06.June,2020,158
App,70826,,Klinger Lake,St. Joseph,T08SR11W01,,,41.80183,-85.53539,,,6,6,06.June,2020,158
App,70906,,Pinelake,Manistee,T21NR14W21,,,44.20004,-86.00453,,,10,6,06.June,2020,162
App,71232,38-32,Clear lake ,Jackson,,,,42.33221,-84.14759,,,28,6,06.June,2020,180
App,71336,,Lake Allegan,Allegan,T02NR14W22,,,42.54477,-85.9424,,,2,7,07.July,2020,184
App,71496,,Norvell Lake,Jackson,T04SR02E04,,,42.15603,-84.1941,,,13,7,07.July,2020,195
App,72931,,Cold Water Lake,Isabella,T15NR05W30,,,43.65622,-84.95345,,,13,8,08.August,2020,226
App,73380,,Subdivision lake ,Macomb,T03NR13E07,,,42.69386,-82.96291,,,20,9,09.September,2020,264
App,74194,,Ford lake,Washtenaw,T03SR07E24,,,42.20704,-83.55459,,,29,11,11.November,2020,334
App,75752,,Bullhead Lake,St. Joseph,T06SR10W31,,,41.9012,-85.52657,,,14,3,03.March,2021,73
App,75747,,Lake Osprey,Livingston,T05SR03E19,,,42.01619,-84.1297,,,10,3,03.March,2021,69
App,75822,,Haven hill dam lake,Oakland,T03NR07E25,,,42.63889,-83.58334,,,22,3,03.March,2021,81
App,75806,,Canada lake,Clare,T19NR03W19,,,44.02675,-84.70898,,,20,3,03.March,2021,79
App,75802,,Rose lake,Clinton,T05NR01W26,,,42.79467,-84.39258,,,20,3,03.March,2021,79
App,75743,,Denton Creek just west of goodfellow lake,Livingston,T04NR06E03,,,42.76919,-83.73932,,,13,3,03.March,2021,72
App,75736,,First Sister Lake,Washtenaw,T02SR05E25,,,42.28208,-83.7944,,,12,3,03.March,2021,71
App,77523,,"Moon Lake, Fenton Twp",Genesee,T05NR06E15,,,42.83755,-83.7476,,,28,4,04.April,2021,118
App,77906,,eagle lake ,Kalamazoo,T03SR12W09,,,42.21941,-85.71429,,,20,5,05.May,2021,140
App,78211,,Big manistique lake,Luce,T45NR12W36,,,46.25972,-85.73996,,,5,6,06.June,2021,156
App,78440,,Englewright Lake,Newaygo,T11NR11W26,,,43.3211,-85.5829,,,8,6,06.June,2021,159
App,78346,,Murray Lake,Kent,T08NR09W33,,,43.03845,-85.37659,,,5,6,06.June,2021,156
App,78305,,Little Glen Lake,Leelanau,T29NR14W33,,,44.87527,-86.01527,,,7,6,06.June,2021,158
App,78179,,Big Fish Lake,Lapeer,T06NR09E34,,,42.88667,-83.39099,,,4,6,06.June,2021,155
App,78236,,Houghton lakes northshore,Roscommon,T23NR03W20,,,44.37141,-84.69417,,,6,6,06.June,2021,157
App,80379,,Curtis lake,Wayne,T01SR08E02,,,42.43372,-83.46124,,,24,7,07.July,2021,205
App,80306,,Lake Doster,Allegan,T01NR11W25,,,42.44946,-85.55241,,,24,7,07.July,2021,205
App,80023,,Wabascon Lake ,Calhoun,T01SR08W03,,,42.41085,-85.22263,,,12,7,07.July,2021,193
App,80295,,Lake Orion,Oakland,T04NR10E11,,,42.77467,-83.24815,,,25,7,07.July,2021,206
App,80917,,Lake Orion Lake,Oakland,T04NR10E02,,,42.78224,-83.248,,,26,8,08.August,2021,238
App,80693,,Bass Lake,Mason,T17NR18W36,,,43.83246,-86.41299,,,13,8,08.August,2021,225
App,80925,,East Crooked Lake,Livingston,T02NR05E22,,,42.5465,-83.83954,,,26,8,08.August,2021,238
App,81053,,Halfmoon lake,Washtenaw,T01SR04E06,,,42.42019,-84.00886,,,2,9,09.September,2021,245
App,81361,,Twin Lake,Muskegon,T11NR16W12,,,43.36703,-86.17478,,,16,9,09.September,2021,259
App,81221,,Derby Lake,Montcalm,T10NR07W10,,,43.27369,-85.12878,,,6,9,09.September,2021,249
App,85114,,Lake St. Clair ,Macomb,,,,42.46233,-82.87862,,,18,3,03.March,2022,77
App,86608,,Mona Lake,Muskegon,T09NR16W09,,,43.18139,-86.22286,,,27,4,04.April,2022,117
App,86482,,Belleville Lake,Wayne,T03SR08E20,,,42.21114,-83.52213,,,23,4,04.April,2022,113
App,86371,55-17,Lake Mary,Menominee,,,,45.45249,-87.75704,,,13,4,04.April,2022,103
App,86273,63-2,Kent Lake,Oakland,,,,42.51305,-83.67593,,,7,4,04.April,2022,97
App,87084,,Norvell lake ,Jackson,T04SR02E04,,,42.1577,-84.19173,,,5,5,05.May,2022,125
App,87524,,Bass Lake,Grand Traverse,T26NR12W31,,,44.60718,-85.80994,,,30,5,05.May,2022,150
App,86723,,Lake St. Clair,Macomb,,,,42.4719,-82.88311,,,1,5,05.May,2022,121
App,87052,63-232,Union Lake,Oakland,,,,42.60218,-83.44493,,,13,5,05.May,2022,133
App,87800,,Narrow Lake- springport mi,Eaton,T01NR04W28,,,42.44102,-84.77835,,,9,6,06.June,2022,160
App,87823,,Lake St. Clair,Macomb,,,,42.52757,-82.87208,,,6,6,06.June,2022,157
App,87796,,Morrison Lake,Ionia,T06NR08W36,,,42.86271,-85.20989,,,9,6,06.June,2022,160
App,87948,,Belleville Lake,Wayne,T03SR08E22,,,42.20831,-83.48231,,,15,6,06.June,2022,166
App,88354,63-1725,"Sandshores Lake, Emerald Lakes Village, Troy",Oakland,,,,42.62045,-83.11508,,,28,6,06.June,2022,179
App,88784,,Whitmore Lake,Livingston,T01NR06E32,,,42.43586,-83.75396,,,17,7,07.July,2022,198
App,89036,,"West Lake, Portage, Mi",Kalamazoo,T04SR11W02,,,42.15231,-85.55776,,,6,7,07.July,2022,187
App,88868,,Lake Roland ,Ontonagon,T51NR38W10,,,46.83488,-89.10991,,,26,7,07.July,2022,207
App,88679,,Lake Lancer,Gladwin,T20NR01W21,,,44.1133,-84.43835,,,5,7,07.July,2022,186
App,88666,,Wamplers Lake,Lenawee,T05SR02E02,,,42.06936,-84.16154,,,14,7,07.July,2022,195
App,88898,,Willow lake,Oakland,T05NR10E23,,,42.82984,-83.25551,,,26,7,07.July,2022,207
App,88961,,Grass lake,Jackson,T02SR02E29,,,42.26438,-84.21065,,,31,7,07.July,2022,212
App,88954,,Crystal Lake,Benzie,T27NR16W34,,,44.69458,-86.22852,,,1,8,08.August,2022,213
App,89456,,Big Blue Lake,Muskegon,T12NR16W03,,,43.45538,-86.2039,,,30,8,08.August,2022,242
App,88949,18-125,Lake George,Clare,,,,43.95027,-84.92787,,,1,8,08.August,2022,213
App,89748,,Clear Spring Lake ,Macomb,T03NR12E17,,,42.6725,-83.06984,,,15,9,09.September,2022,258
Cards,84931651,36-280,Mud,Iron,43N,32W,"13, 18",46.12249,-88.36232,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/single/Iron_Muds_MORT_003.jpg,,15,1,01.January,1936,15
Cards,84931645,35-104,LondoSouth,Iosco,23N,5E,"29, 30, 31",44.3486,-83.86954,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/single/Iosco_LondoSouth_MORT_005.jpg,,28,2,02.February,1936,59
Cards,84932031,13-388,SPECTACLE,CALHOUN,3S,4W,"4, 5",42.23999,-84.79648,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/CALHOUN_SPECTACLE_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/CALHOUN_SPECTACLE_MORT_0001_2.jpeg,15,2,02.February,1936,46
Cards,84931753,38-35,Batteese,Jackson,1S,1E,9,42.3986,-84.3237,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Jackson_Batteese_MORT_080.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Jackson_Batteese_MORT_081.jpg,15,2,02.February,1936,46
Cards,84932024,39-263,Austin,Kalamazoo,3S,11W,"23, 24, 25, 26, 35, 36",42.1736,-85.55204,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Kalamazoo_Austin_MORT_045.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Kalamazoo_Austin_MORT_046.jpg,23,2,02.February,1936,54
Cards,84932071,8-610,LONG3N10WSEC2128,BARRY,3N,10W,"21, 28, 29",42.61971,-85.50176,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/BARRY_LONG3N10WSEC2128_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/BARRY_LONG3N10WSEC2128_MORT_0001_2.jpeg,31,3,03.March,1936,91
Cards,84931851,78-45,Washburn,StJoseph,6S,9W,22,41.93665,-85.33926,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/StJoseph_Washburn_MORT_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/StJoseph_Washburn_MORT_2.jpeg,6,3,03.March,1936,66
Cards,84931902,63-837,ROUNDT3NR8ES35,OAKLAND,3N,8E,35,42.61916,-83.47176,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_ROUNDT3NR8ES35_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_ROUNDT3NR8ES35_MORT_0001_2.jpeg,30,3,03.March,1936,90
Cards,84931907,63-231,LONGT23NR8ES12353536,OAKLAND,2N,8E,"1, 2",42.6111,-83.45676,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_LONGT23NR8ES12353536_MORT_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_LONGT23NR8ES12353536_MORT_0003_2.jpeg,30,3,03.March,1936,90
Cards,84931727,30-350,Courtright,Hillsdale,5S,3W,32,41.80888,-84.82287,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Hillsdale_Courtright_MORT_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Hillsdale_Courtright_MORT_004.jpg,26,3,03.March,1936,86
Cards,84931598,81-97,WEST,WASHTENAW,1S,4E,30,42.36193,-84.00759,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WASHTENAW_WEST_MORT_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WASHTENAW_WEST_MORT_0004_2.jpeg,15,3,03.March,1936,75
Cards,84932064,Aug-36,LOON,BARRY,1N,7W,"28, 33",42.43582,-85.13593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/BARRY_LOON_MORT_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/BARRY_LOON_MORT_0003_2.jpeg,25,3,03.March,1936,85
Cards,84931615,51-118,Bar22N,Manistee,22N,"16, 17W","17, 19, 30, 29, 30",44.29721,-86.29176,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/single/Manistee_Bar22N_16W_S19_MORT_005.jpg,,1,3,03.March,1936,61
Cards,84931895,63-575,WHITE,OAKLAND,3N,8E,"7, 12, 13, 18",42.6686,-83.5637,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_WHITE_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_WHITE_MORT_0001_2.jpeg,31,3,03.March,1936,91
Cards,84931890,65-102,AMBROSE,OGEMAW,23N,1E,"1, 2, 12",44.40943,-84.26176,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OGEMAW_AMBROSE_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OGEMAW_AMBROSE_MORT_0001_2.jpeg,27,3,03.March,1936,87
Cards,84931788,81-46,Green,Washtenaw,1S,3E,"21, 22, 27, 28",42.36666,-84.07509,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Washtenaw_Green_20200224123234844_MORT_0042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Washtenaw_Green_20200224123234844_MORT_0043.jpg,25,3,03.March,1936,85
Cards,84931609,83-3,CADILLAC,WEXFORD,21N,9W,7,44.249,-85.40948,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WEXFORD_CADILLAC_MORT_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WEXFORD_CADILLAC_MORT_0003_2.jpeg,29,3,03.March,1936,89
Cards,84931655,38-134,Grass,Jackson,2S,"2, 3E","28, 29, 32",42.2611,-84.21704,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/single/Jackson_Grass_MORT_005.jpg,,1,3,03.March,1936,61
